,sofifa_id,age,height_cm,weight_kg,overall,potential,value_eur,wage_eur,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,release_clause_eur,team_position,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,best_pos
0,158023,32,170,72,94,94,95500000,565000,0,5,4,4,7,4,195800000.0,26,87.0,92.0,92.0,96.0,39.0,66.0,88,95,70,92,88,97,93,94,92,96,91,84,93,95,95,86,68,75,68,94,48,40,94,94,75,96,33,37,26,6,11,15,14,8,4
1,20801,34,187,83,93,93,58500000,405000,1,5,4,5,1,1,96500000.0,15,90.0,93.0,82.0,89.0,35.0,78.0,84,94,89,83,87,89,81,76,77,92,89,91,87,96,71,95,95,85,78,93,63,29,95,82,85,95,28,32,24,7,11,15,14,11,3
2,190871,27,175,68,92,92,105500000,290000,1,5,5,5,2,5,195200000.0,1,91.0,85.0,87.0,95.0,32.0,58.0,87,87,62,87,87,96,88,87,81,95,94,89,96,92,84,80,61,81,49,84,51,36,87,90,90,94,27,26,29,9,9,15,15,11,4
3,200389,26,188,87,91,93,77500000,125000,1,3,3,1,8,6,164700000.0,6,0.0,0.0,0.0,0.0,0.0,0.0,13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,27,12,18,87,92,78,90,89,5
4,183277,28,175,74,91,91,90000000,470000,1,4,4,4,2,6,184500000.0,15,91.0,83.0,86.0,94.0,35.0,66.0,81,84,61,89,83,95,83,79,83,94,94,88,95,90,94,82,56,84,63,80,54,41,87,89,88,91,34,27,22,11,12,6,8,8,4
5,192985,28,181,70,91,91,90000000,370000,1,4,5,4,0,6,166500000.0,20,76.0,86.0,92.0,86.0,61.0,78.0,93,82,55,92,82,86,85,83,91,91,77,76,78,91,76,91,63,89,74,90,76,61,88,94,79,91,68,58,51,15,13,5,10,13,6
6,192448,27,187,85,90,93,67500000,250000,1,3,4,1,8,6,143400000.0,6,0.0,0.0,0.0,0.0,0.0,0.0,18,14,11,61,14,21,18,12,63,30,38,50,37,86,43,66,79,35,78,10,43,22,11,70,25,70,25,13,10,88,85,88,88,90,5
7,203376,27,193,92,90,91,78000000,200000,1,3,3,2,8,6,150200000.0,9,77.0,60.0,70.0,71.0,90.0,86.0,53,52,86,78,45,70,60,70,81,76,74,79,61,88,53,81,90,75,92,64,82,89,47,65,62,89,91,92,85,13,10,13,11,11,0
8,177003,33,172,66,90,90,45000000,340000,1,4,4,4,0,3,92300000.0,20,74.0,76.0,89.0,89.0,72.0,66.0,86,72,55,92,76,87,85,78,88,92,77,71,92,89,93,79,68,85,58,82,62,82,79,91,82,92,68,76,71,13,9,7,14,9,6
9,209331,27,175,71,90,90,80500000,240000,0,3,3,4,2,7,148900000.0,26,93.0,86.0,81.0,89.0,45.0,74.0,79,90,59,84,79,89,83,69,75,89,94,92,91,92,88,80,69,85,73,84,63,55,92,84,77,91,38,43,41,14,14,9,11,14,4
10,231747,20,178,73,89,95,93500000,155000,1,3,4,5,1,6,191700000.0,26,96.0,84.0,78.0,90.0,39.0,75.0,78,89,77,82,79,91,79,63,70,90,96,96,92,89,83,83,76,84,76,79,62,38,89,80,70,84,34,34,32,13,5,7,11,6,3
11,201024,28,187,89,89,91,67500000,150000,1,3,3,2,6,6,119800000.0,9,71.0,28.0,54.0,67.0,89.0,87.0,30,22,83,71,14,69,28,28,63,71,69,73,52,86,41,55,81,73,95,15,87,88,35,52,33,82,91,90,87,7,11,7,13,5,0
12,202126,25,188,89,89,91,83000000,220000,1,3,4,3,0,6,159800000.0,28,70.0,91.0,79.0,81.0,47.0,83.0,75,94,86,81,85,80,78,68,83,84,68,72,71,91,73,90,79,87,84,86,78,35,93,81,90,91,56,36,38,8,10,11,14,11,3
13,212831,26,191,91,89,91,58000000,155000,1,3,3,1,8,6,111700000.0,6,0.0,0.0,0.0,0.0,0.0,0.0,17,13,19,45,20,27,19,18,44,30,56,47,40,88,37,64,52,32,78,14,27,11,13,66,23,65,15,19,16,85,84,85,90,89,5
14,193080,28,192,82,89,90,56000000,205000,1,4,3,1,8,3,110600000.0,6,0.0,0.0,0.0,0.0,0.0,0.0,17,13,21,50,13,18,21,19,47,38,57,58,63,87,43,61,67,43,60,12,38,30,12,65,29,68,25,21,13,90,84,81,85,92,5
15,215914,28,168,72,89,90,66000000,235000,1,3,3,2,6,6,130400000.0,20,78.0,65.0,77.0,81.0,87.0,83.0,68,65,54,86,56,79,49,49,81,80,79,77,82,93,92,71,77,97,73,63,90,92,72,79,54,85,90,91,85,15,12,10,7,10,6
16,138956,34,187,85,89,89,24500000,215000,0,4,3,2,6,6,40400000.0,9,68.0,46.0,58.0,60.0,90.0,82.0,54,33,83,65,45,59,60,31,65,61,61,73,57,82,57,78,89,59,89,49,91,88,28,50,50,84,94,91,89,3,3,2,4,3,0
17,153079,31,173,70,89,89,60000000,300000,1,4,4,4,2,9,111000000.0,28,80.0,90.0,77.0,88.0,33.0,74.0,70,93,78,83,85,88,83,73,64,89,82,78,84,92,91,89,81,79,74,84,65,24,93,83,83,90,30,29,24,13,15,6,11,14,3
