,precision,recall,f1-score,support
0,0.8983739837398373,0.8793103448275862,0.8887399463806971,754.0
1,0.8168812589413448,0.8921875,0.8528752800597461,640.0
2,1.0,0.0,0.0,36.0
3,0.8738738738738738,0.919431279620853,0.8960739030023095,633.0
4,0.35,0.03932584269662921,0.0707070707070707,178.0
5,1.0,1.0,1.0,486.0
6,0.8178887993553586,0.871244635193133,0.8437240232751454,1165.0
7,0.6228373702422145,0.6716417910447762,0.6463195691202872,536.0
accuracy,0.8319783197831978,0.8319783197831978,0.8319783197831978,0.8319783197831978
macro avg,0.7974819107690787,0.6591426741728722,0.649804974068157,4428.0
weighted avg,0.8185007753665944,0.8319783197831978,0.8155186346340609,4428.0
