,precision,recall,f1-score,support
0,0.8518518518518519,0.8236074270557029,0.8374915711395818,754.0
1,0.7429837518463811,0.7859375,0.7638572513287776,640.0
2,1.0,0.0,0.0,36.0
3,0.875,0.9067930489731437,0.8906128782001551,633.0
4,1.0,0.0,0.0,178.0
5,1.0,1.0,1.0,486.0
6,0.7887658227848101,0.855793991416309,0.8209139563606422,1165.0
7,0.547077922077922,0.628731343283582,0.5850694444444445,536.0
accuracy,0.7944896115627823,0.7944896115627823,0.7944896115627823,0.7944896115627823
macro avg,0.8507099185701206,0.6251079138410922,0.6122431376842001,4428.0
weighted avg,0.8093556565618903,0.7944896115627823,0.7768873574464162,4428.0
