,precision,recall,f1-score,support
0,0.8755020080321285,0.8673740053050398,0.8714190539640241,754.0
1,0.7136563876651982,0.759375,0.7358062074186221,640.0
2,1.0,0.0,0.0,36.0
3,0.8532526475037822,0.8909952606635071,0.8717156105100464,633.0
4,1.0,0.0,0.0,178.0
5,1.0,1.0,1.0,486.0
6,0.7181467181467182,0.7982832618025751,0.7560975609756098,1165.0
7,0.5698924731182796,0.5932835820895522,0.5813528336380256,536.0
accuracy,0.7764227642276422,0.7764227642276422,0.7764227642276422,0.7764227642276422
macro avg,0.8413062793082633,0.6136638887325843,0.602048908313291,4428.0
weighted avg,0.7902169874128658,0.7764227642276422,0.7584057584137802,4428.0
