,precision,recall,f1-score,support
0,0.8971830985915493,0.8678474114441417,0.8822714681440443,734.0
1,0.7203791469194313,0.7402597402597403,0.7301841473178543,616.0
2,1.0,0.0,0.0,39.0
3,0.8632872503840245,0.8963317384370016,0.8794992175273867,627.0
4,0.0,0.0,0.0,180.0
5,1.0,1.0,1.0,202.0
6,0.7159533073929961,0.8105726872246696,0.7603305785123967,1135.0
7,0.5336976320582878,0.5883534136546185,0.559694364851958,498.0
accuracy,0.7615976184569586,0.7615976184569586,0.7615976184569586,0.7615976184569586
macro avg,0.7163125544182861,0.6129206238775214,0.601497472044205,4031.0
weighted avg,0.7350422921149661,0.7615976184569586,0.7423789883560018,4031.0
