,precision,recall,f1-score,support
0,0.8684582743988685,0.8365122615803815,0.8521859819569744,734.0
1,0.7507836990595611,0.7775974025974026,0.7639553429027114,616.0
2,1.0,0.0,0.0,39.0
3,0.8904538341158059,0.9074960127591707,0.8988941548183255,627.0
4,1.0,0.0,0.0,180.0
5,1.0,1.0,1.0,202.0
6,0.7856579984239559,0.8784140969162996,0.829450915141431,1135.0
7,0.53125,0.6144578313253012,0.5698324022346368,498.0
accuracy,0.7856611262713967,0.7856611262713967,0.7856611262713967,0.7856611262713967
macro avg,0.8533254757497739,0.6268097006473194,0.6142898496317599,4031.0
weighted avg,0.802661874034051,0.7856611262713967,0.765792845957319,4031.0
