,precision,recall,f1-score,support
0,0.8896366083445492,0.876657824933687,0.8830995323981295,754.0
1,0.8202567760342369,0.8984375,0.8575689783743475,640.0
2,1.0,0.0,0.0,36.0
3,0.8748114630467572,0.9162717219589257,0.8950617283950617,633.0
4,0.25925925925925924,0.03932584269662921,0.06829268292682926,178.0
5,1.0,1.0,1.0,486.0
6,0.8456318914334181,0.855793991416309,0.8506825938566552,1165.0
7,0.5961844197138315,0.6996268656716418,0.6437768240343348,536.0
accuracy,0.8313008130081301,0.8313008130081301,0.8313008130081301,0.8313008130081301
macro avg,0.7857225522290066,0.660764218334649,0.6498102924981698,4428.0
weighted avg,0.8180601052612901,0.8313008130081301,0.8165178330506387,4428.0
