,precision,recall,f1-score,support
0,0.8836565096952909,0.8461538461538461,0.8644986449864499,754.0
1,0.7521246458923513,0.8296875,0.7890044576523031,640.0
2,0.0,0.0,0.0,36.0
3,0.8532110091743119,0.8815165876777251,0.8671328671328671,633.0
4,0.25892857142857145,0.16292134831460675,0.20000000000000004,178.0
5,1.0,1.0,1.0,486.0
6,0.7760956175298804,0.8360515021459227,0.8049586776859503,1165.0
7,0.5725971370143149,0.5223880597014925,0.5463414634146341,536.0
accuracy,0.7895212285456188,0.7895212285456188,0.7895212285456188,0.7895212285456188
macro avg,0.6370766863418401,0.6348398554991992,0.6339920138590255,4428.0
weighted avg,0.774813029824969,0.7895212285456188,0.7809182068669237,4428.0
