,precision,recall,f1-score,support
0,0.8851351351351351,0.8687002652519894,0.8768406961178046,754.0
1,0.8116343490304709,0.915625,0.8604992657856094,640.0
2,1.0,0.0,0.0,36.0
3,0.89375,0.9036334913112164,0.8986645718774549,633.0
4,0.39285714285714285,0.12359550561797752,0.18803418803418803,178.0
5,1.0,1.0,1.0,486.0
6,0.8309623430962343,0.8523605150214593,0.8415254237288136,1165.0
7,0.6196943972835314,0.6809701492537313,0.6488888888888887,536.0
accuracy,0.8308491418247516,0.8308491418247516,0.8308491418247516,0.8308491418247516
macro avg,0.8042541709253143,0.6681106158070468,0.6643066293040949,4428.0
weighted avg,0.823111455137997,0.8308491418247516,0.8194136715295034,4428.0
