,precision,recall,f1-score,support
0,0.8992248062015504,0.841596130592503,0.8694565896314803,827.0
1,0.7072784810126582,0.7140575079872205,0.7106518282988872,626.0
2,1.0,0.0,0.0,34.0
3,0.8464849354375896,0.889894419306184,0.8676470588235293,663.0
4,0.0,0.0,0.0,197.0
5,1.0,1.0,1.0,494.0
6,0.7031363967906638,0.8006644518272426,0.74873786407767,1204.0
7,0.5383333333333333,0.6152380952380953,0.5742222222222223,525.0
accuracy,0.7689277899343545,0.7689277899343545,0.7689277899343545,0.7689277899343545
macro avg,0.7118072440969745,0.6076813256189056,0.5963394453817237,4570.0
weighted avg,0.7450406953552926,0.7689277899343545,0.7518830851545993,4570.0
