,precision,recall,f1-score,support
0,0.9265687583444593,0.8391777509068924,0.8807106598984772,827.0
1,0.7878359264497878,0.889776357827476,0.835708927231808,626.0
2,1.0,0.0,0.0,34.0
3,0.865606936416185,0.9034690799396682,0.8841328413284134,663.0
4,1.0,0.0,0.0,197.0
5,1.0,1.0,1.0,494.0
6,0.8202334630350194,0.8754152823920266,0.8469264764965849,1204.0
7,0.5847589424572317,0.7161904761904762,0.6438356164383562,525.0
accuracy,0.82582056892779,0.82582056892779,0.82582056892779,0.82582056892779
macro avg,0.8731255033378355,0.6530036184070674,0.636414315174205,4570.0
weighted avg,0.8430885309051588,0.82582056892779,0.8073073860647518,4570.0
