,precision,recall,f1-score,support
0,0.8968792401628223,0.876657824933687,0.8866532528504361,754.0
1,0.8089260808926081,0.90625,0.8548268238761975,640.0
2,1.0,0.0,0.0,36.0
3,0.8878648233486943,0.9131121642969984,0.9003115264797508,633.0
4,1.0,0.0,0.0,178.0
5,1.0,1.0,1.0,486.0
6,0.830480847595762,0.8746781115879828,0.8520066889632107,1165.0
7,0.6131147540983607,0.6977611940298507,0.6527050610820245,536.0
accuracy,0.8351400180668473,0.8351400180668473,0.8351400180668473,0.8351400180668473
macro avg,0.879658218262281,0.6585574118560649,0.6433129191564524,4428.0
weighted avg,0.8473617361516588,0.8351400180668473,0.8161609353147659,4428.0
